Loading EasyOCR; transcript_count=26
OCR 7652356227367767338 8/233
OCR 7652356227367767338 16/233
OCR 7652356227367767338 24/233
OCR 7652356227367767338 32/233
OCR 7652356227367767338 40/233
OCR 7652356227367767338 48/233
OCR 7652356227367767338 56/233
OCR 7652356227367767338 64/233
OCR 7652356227367767338 72/233
OCR 7652356227367767338 80/233
OCR 7652356227367767338 88/233
OCR 7652356227367767338 96/233
OCR 7652356227367767338 104/233
OCR 7652356227367767338 112/233
OCR 7652356227367767338 120/233
OCR 7652356227367767338 128/233
OCR 7652356227367767338 136/233
OCR 7652356227367767338 144/233
OCR 7652356227367767338 152/233
OCR 7652356227367767338 160/233
OCR 7652356227367767338 168/233
OCR 7652356227367767338 176/233
OCR 7652356227367767338 184/233
OCR 7652356227367767338 192/233
OCR 7652356227367767338 200/233
OCR 7652356227367767338 208/233
OCR 7652356227367767338 216/233
OCR 7652356227367767338 224/233
OCR 7652356227367767338 232/233
OCR 7652356227367767338 233/233
DONE 1/26 7652356227367767338
OCR 7652699613761228083 8/398
OCR 7652699613761228083 16/398
OCR 7652699613761228083 24/398
OCR 7652699613761228083 32/398
OCR 7652699613761228083 40/398
OCR 7652699613761228083 48/398
OCR 7652699613761228083 56/398
OCR 7652699613761228083 64/398
OCR 7652699613761228083 72/398
OCR 7652699613761228083 80/398
OCR 7652699613761228083 88/398
OCR 7652699613761228083 96/398
OCR 7652699613761228083 104/398
OCR 7652699613761228083 112/398
OCR 7652699613761228083 120/398
OCR 7652699613761228083 128/398
OCR 7652699613761228083 136/398
OCR 7652699613761228083 144/398
OCR 7652699613761228083 152/398
OCR 7652699613761228083 160/398
OCR 7652699613761228083 168/398
OCR 7652699613761228083 176/398
OCR 7652699613761228083 184/398
OCR 7652699613761228083 192/398
OCR 7652699613761228083 200/398
OCR 7652699613761228083 208/398
OCR 7652699613761228083 216/398
OCR 7652699613761228083 224/398
OCR 7652699613761228083 232/398
OCR 7652699613761228083 240/398
OCR 7652699613761228083 248/398
OCR 7652699613761228083 256/398
OCR 7652699613761228083 264/398
OCR 7652699613761228083 272/398
OCR 7652699613761228083 280/398
OCR 7652699613761228083 288/398
OCR 7652699613761228083 296/398
OCR 7652699613761228083 304/398
OCR 7652699613761228083 312/398
OCR 7652699613761228083 320/398
OCR 7652699613761228083 328/398
OCR 7652699613761228083 336/398
OCR 7652699613761228083 344/398
OCR 7652699613761228083 352/398
OCR 7652699613761228083 360/398
OCR 7652699613761228083 368/398
OCR 7652699613761228083 376/398
OCR 7652699613761228083 384/398
