Loading EasyOCR; transcript_count=1
OCR 7661605040515321138 8/233
OCR 7661605040515321138 16/233
OCR 7661605040515321138 24/233
OCR 7661605040515321138 32/233
OCR 7661605040515321138 40/233
OCR 7661605040515321138 48/233
OCR 7661605040515321138 56/233
OCR 7661605040515321138 64/233
OCR 7661605040515321138 72/233
OCR 7661605040515321138 80/233
OCR 7661605040515321138 88/233
OCR 7661605040515321138 96/233
OCR 7661605040515321138 104/233
OCR 7661605040515321138 112/233
OCR 7661605040515321138 120/233
OCR 7661605040515321138 128/233
OCR 7661605040515321138 136/233
OCR 7661605040515321138 144/233
OCR 7661605040515321138 152/233
OCR 7661605040515321138 160/233
OCR 7661605040515321138 168/233
OCR 7661605040515321138 176/233
OCR 7661605040515321138 184/233
OCR 7661605040515321138 192/233
OCR 7661605040515321138 200/233
OCR 7661605040515321138 208/233
OCR 7661605040515321138 216/233
OCR 7661605040515321138 224/233
OCR 7661605040515321138 232/233
OCR 7661605040515321138 233/233
DONE 1/1 7661605040515321138
