Series total=26 completed=0 pending=26
Downloading 26 missing source videos with 1 workers...
DOWNLOAD 1/26 7642250423872638223 existing
DOWNLOAD 2/26 7642692521780464936 existing
DOWNLOAD 3/26 7643072492197727503 existing
DOWNLOAD 4/26 7643434162665442575 existing
DOWNLOAD 5/26 7643833205165968680 existing
DOWNLOAD 6/26 7644195046853578036 existing
DOWNLOAD 7/26 7644578524879129899 existing
DOWNLOAD 8/26 7644889050234506538 existing
DOWNLOAD 9/26 7645207502186908947 existing
DOWNLOAD 10/26 7645652035567750436 existing
DOWNLOAD 11/26 7645942254057688326 existing
DOWNLOAD 12/26 7646373169162472767 existing
DOWNLOAD 13/26 7647138694075321610 existing
DOWNLOAD 14/26 7647472332063264054 existing
DOWNLOAD 15/26 7647897900562861366 existing
DOWNLOAD 16/26 7648251421615246611 existing
DOWNLOAD 17/26 7648608700575288619 existing
DOWNLOAD 18/26 7648992848871722259 existing
DOWNLOAD 19/26 7649314280830979391 existing
DOWNLOAD 20/26 7649729653048888612 existing
DOWNLOAD 21/26 7650089773134138650 existing
DOWNLOAD 22/26 7650451125698710811 existing
DOWNLOAD 23/26 7650820361054883106 existing
DOWNLOAD 24/26 7651189369163894043 existing
DOWNLOAD 25/26 7651567388554431763 existing
DOWNLOAD 26/26 7652000331357883682 existing
Loading faster-whisper model=small cpu_threads=6
TRANSCRIBE 1/26 episode=14 id=7642250423872638223
TRANSCRIBED episode=14 id=7642250423872638223 chars=1933
TRANSCRIBE 2/26 episode=15 id=7642692521780464936
TRANSCRIBED episode=15 id=7642692521780464936 chars=1346
TRANSCRIBE 3/26 episode=16 id=7643072492197727503
TRANSCRIBED episode=16 id=7643072492197727503 chars=1731
TRANSCRIBE 4/26 episode=17 id=7643434162665442575
TRANSCRIBED episode=17 id=7643434162665442575 chars=1695
TRANSCRIBE 5/26 episode=18 id=7643833205165968680
TRANSCRIBED episode=18 id=7643833205165968680 chars=1779
TRANSCRIBE 6/26 episode=19 id=7644195046853578036
TRANSCRIBED episode=19 id=7644195046853578036 chars=1305
TRANSCRIBE 7/26 episode=20 id=7644578524879129899
TRANSCRIBED episode=20 id=7644578524879129899 chars=2070
TRANSCRIBE 8/26 episode=21 id=7644889050234506538
TRANSCRIBED episode=21 id=7644889050234506538 chars=1921
TRANSCRIBE 9/26 episode=22 id=7645207502186908947
TRANSCRIBED episode=22 id=7645207502186908947 chars=1578
TRANSCRIBE 10/26 episode=23 id=7645652035567750436
TRANSCRIBED episode=23 id=7645652035567750436 chars=1491
TRANSCRIBE 11/26 episode=24 id=7645942254057688326
TRANSCRIBED episode=24 id=7645942254057688326 chars=1386
TRANSCRIBE 12/26 episode=25 id=7646373169162472767
TRANSCRIBED episode=25 id=7646373169162472767 chars=2171
TRANSCRIBE 13/26 episode=26 id=7647138694075321610
TRANSCRIBED episode=26 id=7647138694075321610 chars=2097
TRANSCRIBE 14/26 episode=27 id=7647472332063264054
TRANSCRIBED episode=27 id=7647472332063264054 chars=1840
TRANSCRIBE 15/26 episode=28 id=7647897900562861366
TRANSCRIBED episode=28 id=7647897900562861366 chars=1457
TRANSCRIBE 16/26 episode=29 id=7648251421615246611
TRANSCRIBED episode=29 id=7648251421615246611 chars=1748
TRANSCRIBE 17/26 episode=30 id=7648608700575288619
TRANSCRIBED episode=30 id=7648608700575288619 chars=1906
TRANSCRIBE 18/26 episode=31 id=7648992848871722259
TRANSCRIBED episode=31 id=7648992848871722259 chars=1851
TRANSCRIBE 19/26 episode=32 id=7649314280830979391
TRANSCRIBED episode=32 id=7649314280830979391 chars=1624
TRANSCRIBE 20/26 episode=33 id=7649729653048888612
TRANSCRIBED episode=33 id=7649729653048888612 chars=1499
TRANSCRIBE 21/26 episode=34 id=7650089773134138650
TRANSCRIBED episode=34 id=7650089773134138650 chars=1938
TRANSCRIBE 22/26 episode=35 id=7650451125698710811
TRANSCRIBED episode=35 id=7650451125698710811 chars=1819
TRANSCRIBE 23/26 episode=36 id=7650820361054883106
TRANSCRIBED episode=36 id=7650820361054883106 chars=1927
TRANSCRIBE 24/26 episode=37 id=7651189369163894043
TRANSCRIBED episode=37 id=7651189369163894043 chars=1615
TRANSCRIBE 25/26 episode=38 id=7651567388554431763
TRANSCRIBED episode=38 id=7651567388554431763 chars=1894
TRANSCRIBE 26/26 episode=39 id=7652000331357883682
TRANSCRIBED episode=39 id=7652000331357883682 chars=1737
DONE completed=26/26 failures=0
