Series total=26 completed=0 pending=26
Downloading 26 missing source videos with 1 workers...
DOWNLOAD 1/26 7652356227367767338 existing
DOWNLOAD 2/26 7652699613761228083 existing
DOWNLOAD 3/26 7653052955993656628 existing
DOWNLOAD 4/26 7653429133493439786 existing
DOWNLOAD 5/26 7653813315168259334 existing
DOWNLOAD 6/26 7654183060182682890 existing
DOWNLOAD 7/26 7654536155693649202 existing
DOWNLOAD 8/26 7654924170920283407 existing
DOWNLOAD 9/26 7655286121772993844 existing
DOWNLOAD 10/26 7655679512360881448 existing
DOWNLOAD 11/26 7656051023496236328 existing
DOWNLOAD 12/26 7656428018444881193 existing
DOWNLOAD 13/26 7656767056066514191 existing
DOWNLOAD 14/26 7657140857685986602 existing
DOWNLOAD 15/26 7657547366643272986 existing
DOWNLOAD 16/26 7657925270267006243 existing
DOWNLOAD 17/26 7658266531562671412 existing
DOWNLOAD 18/26 7658628033149930793 existing
DOWNLOAD 19/26 7659021467580960010 existing
DOWNLOAD 20/26 7659382845609119016 existing
DOWNLOAD 21/26 7659780318336929065 existing
DOWNLOAD 22/26 7660122335013276971 existing
DOWNLOAD 23/26 7660468197740596532 existing
DOWNLOAD 24/26 7660896909606849807 existing
DOWNLOAD 25/26 7661179181669092642 existing
DOWNLOAD 26/26 7661605040515321138 existing
Loading faster-whisper model=small cpu_threads=6
TRANSCRIBE 1/26 episode=40 id=7652356227367767338
TRANSCRIBED episode=40 id=7652356227367767338 chars=1918
TRANSCRIBE 2/26 episode=41 id=7652699613761228083
TRANSCRIBED episode=41 id=7652699613761228083 chars=3151
TRANSCRIBE 3/26 episode=42 id=7653052955993656628
TRANSCRIBED episode=42 id=7653052955993656628 chars=2471
TRANSCRIBE 4/26 episode=43 id=7653429133493439786
TRANSCRIBED episode=43 id=7653429133493439786 chars=2195
TRANSCRIBE 5/26 episode=44 id=7653813315168259334
TRANSCRIBED episode=44 id=7653813315168259334 chars=2555
TRANSCRIBE 6/26 episode=45 id=7654183060182682890
TRANSCRIBED episode=45 id=7654183060182682890 chars=2572
TRANSCRIBE 7/26 episode=46 id=7654536155693649202
TRANSCRIBED episode=46 id=7654536155693649202 chars=1505
TRANSCRIBE 8/26 episode=47 id=7654924170920283407
TRANSCRIBED episode=47 id=7654924170920283407 chars=2002
TRANSCRIBE 9/26 episode=48 id=7655286121772993844
TRANSCRIBED episode=48 id=7655286121772993844 chars=1448
TRANSCRIBE 10/26 episode=49 id=7655679512360881448
TRANSCRIBED episode=49 id=7655679512360881448 chars=2076
TRANSCRIBE 11/26 episode=50 id=7656051023496236328
TRANSCRIBED episode=50 id=7656051023496236328 chars=1805
TRANSCRIBE 12/26 episode=51 id=7656428018444881193
TRANSCRIBED episode=51 id=7656428018444881193 chars=1761
TRANSCRIBE 13/26 episode=52 id=7656767056066514191
TRANSCRIBED episode=52 id=7656767056066514191 chars=2408
TRANSCRIBE 14/26 episode=53 id=7657140857685986602
TRANSCRIBED episode=53 id=7657140857685986602 chars=1938
TRANSCRIBE 15/26 episode=54 id=7657547366643272986
TRANSCRIBED episode=54 id=7657547366643272986 chars=1696
TRANSCRIBE 16/26 episode=55 id=7657925270267006243
TRANSCRIBED episode=55 id=7657925270267006243 chars=1600
TRANSCRIBE 17/26 episode=56 id=7658266531562671412
TRANSCRIBED episode=56 id=7658266531562671412 chars=2312
TRANSCRIBE 18/26 episode=57 id=7658628033149930793
TRANSCRIBED episode=57 id=7658628033149930793 chars=1786
TRANSCRIBE 19/26 episode=58 id=7659021467580960010
TRANSCRIBED episode=58 id=7659021467580960010 chars=1535
TRANSCRIBE 20/26 episode=59 id=7659382845609119016
TRANSCRIBED episode=59 id=7659382845609119016 chars=2093
TRANSCRIBE 21/26 episode=60 id=7659780318336929065
TRANSCRIBED episode=60 id=7659780318336929065 chars=1559
TRANSCRIBE 22/26 episode=61 id=7660122335013276971
TRANSCRIBED episode=61 id=7660122335013276971 chars=1832
TRANSCRIBE 23/26 episode=62 id=7660468197740596532
TRANSCRIBED episode=62 id=7660468197740596532 chars=1684
TRANSCRIBE 24/26 episode=63 id=7660896909606849807
TRANSCRIBED episode=63 id=7660896909606849807 chars=2112
TRANSCRIBE 25/26 episode=64 id=7661179181669092642
TRANSCRIBED episode=64 id=7661179181669092642 chars=1711
TRANSCRIBE 26/26 episode=65 id=7661605040515321138
TRANSCRIBED episode=65 id=7661605040515321138 chars=1899
DONE completed=26/26 failures=0
