Series total=65 completed=1 pending=64
Downloading 64 missing source videos with 3 workers...
DOWNLOAD 1/64 7640705928941161743 existing
DOWNLOAD 2/64 7640860487919389978 existing
DOWNLOAD 3/64 7641876208291958051 existing
DOWNLOAD 4/64 7640112676718333190 existing
DOWNLOAD 5/64 7639726333802679590 existing
DOWNLOAD 6/64 7638975546461785384 existing
DOWNLOAD 7/64 7639313715996691762 existing
DOWNLOAD 8/64 7638664477021326643 existing
DOWNLOAD 9/64 7638280761396710682 existing
DOWNLOAD 10/64 7637487731915918598 existing
DOWNLOAD 11/64 7642220065483492643 existing
DOWNLOAD 12/64 7637924826572705065 existing
DOWNLOAD 13/64 7642250423872638223 existing
DOWNLOAD 14/64 7643072492197727503 existing
DOWNLOAD 15/64 7643434162665442575 existing
DOWNLOAD 16/64 7642692521780464936 existing
DOWNLOAD 17/64 7644195046853578036 existing
DOWNLOAD 18/64 7643833205165968680 existing
DOWNLOAD 19/64 7644889050234506538 existing
DOWNLOAD 20/64 7644578524879129899 existing
DOWNLOAD 21/64 7645207502186908947 existing
DOWNLOAD 22/64 7645942254057688326 existing
DOWNLOAD 23/64 7645652035567750436 existing
DOWNLOAD 24/64 7646373169162472767 existing
DOWNLOAD 25/64 7647472332063264054 existing
DOWNLOAD 26/64 7647138694075321610 existing
DOWNLOAD 27/64 7648608700575288619 existing
DOWNLOAD 28/64 7647897900562861366 existing
DOWNLOAD 29/64 7648251421615246611 existing
DOWNLOAD 30/64 7649314280830979391 existing
DOWNLOAD 31/64 7648992848871722259 existing
DOWNLOAD 32/64 7649729653048888612 existing
DOWNLOAD 33/64 7650089773134138650 existing
DOWNLOAD 34/64 7650451125698710811 existing
DOWNLOAD 35/64 7651189369163894043 existing
DOWNLOAD 36/64 7650820361054883106 existing
DOWNLOAD 37/64 7652000331357883682 existing
DOWNLOAD 38/64 7651567388554431763 existing
DOWNLOAD 39/64 7652356227367767338 existing
DOWNLOAD 40/64 7652699613761228083 existing
DOWNLOAD 41/64 7653052955993656628 existing
DOWNLOAD 42/64 7653429133493439786 existing
DOWNLOAD 43/64 7653813315168259334 existing
DOWNLOAD 44/64 7654183060182682890 existing
DOWNLOAD 45/64 7654536155693649202 existing
DOWNLOAD 46/64 7655286121772993844 existing
DOWNLOAD 47/64 7654924170920283407 existing
DOWNLOAD 48/64 7655679512360881448 existing
DOWNLOAD 49/64 7656428018444881193 existing
DOWNLOAD 50/64 7656051023496236328 existing
DOWNLOAD 51/64 7656767056066514191 existing
DOWNLOAD 52/64 7657925270267006243 existing
DOWNLOAD 53/64 7657140857685986602 existing
DOWNLOAD 54/64 7657547366643272986 existing
DOWNLOAD 55/64 7658266531562671412 existing
DOWNLOAD 56/64 7658628033149930793 existing
DOWNLOAD 57/64 7659021467580960010 existing
DOWNLOAD 58/64 7660122335013276971 existing
DOWNLOAD 59/64 7659780318336929065 existing
DOWNLOAD 60/64 7659382845609119016 existing
DOWNLOAD 61/64 7660896909606849807 existing
DOWNLOAD 62/64 7660468197740596532 existing
DOWNLOAD 63/64 7661179181669092642 existing
DOWNLOAD 64/64 7661605040515321138 existing
Loading faster-whisper model=small cpu_threads=12
TRANSCRIBE 1/64 episode=1 id=7641876208291958051
TRANSCRIBED episode=1 id=7641876208291958051 chars=1663
TRANSCRIBE 2/64 episode=3 id=7640860487919389978
TRANSCRIBED episode=3 id=7640860487919389978 chars=1799
TRANSCRIBE 3/64 episode=4 id=7640705928941161743
TRANSCRIBED episode=4 id=7640705928941161743 chars=1805
TRANSCRIBE 4/64 episode=5 id=7640112676718333190
TRANSCRIBED episode=5 id=7640112676718333190 chars=1412
TRANSCRIBE 5/64 episode=6 id=7639726333802679590
TRANSCRIBED episode=6 id=7639726333802679590 chars=2001
TRANSCRIBE 6/64 episode=7 id=7639313715996691762
TRANSCRIBED episode=7 id=7639313715996691762 chars=1610
TRANSCRIBE 7/64 episode=8 id=7638975546461785384
TRANSCRIBED episode=8 id=7638975546461785384 chars=1667
TRANSCRIBE 8/64 episode=9 id=7638664477021326643
TRANSCRIBED episode=9 id=7638664477021326643 chars=1708
TRANSCRIBE 9/64 episode=10 id=7638280761396710682
TRANSCRIBED episode=10 id=7638280761396710682 chars=1571
TRANSCRIBE 10/64 episode=11 id=7637924826572705065
TRANSCRIBED episode=11 id=7637924826572705065 chars=1564
TRANSCRIBE 11/64 episode=12 id=7637487731915918598
TRANSCRIBED episode=12 id=7637487731915918598 chars=1661
TRANSCRIBE 12/64 episode=13 id=7642220065483492643
TRANSCRIBED episode=13 id=7642220065483492643 chars=1574
TRANSCRIBE 13/64 episode=14 id=7642250423872638223
