Series total=65 completed=1 pending=64
Downloading 64 missing source videos with 3 workers...
DOWNLOAD 1/64 7640860487919389978 existing
DOWNLOAD 2/64 7641876208291958051 existing
DOWNLOAD 3/64 7640112676718333190 downloaded
DOWNLOAD 4/64 7639313715996691762 existing
DOWNLOAD 5/64 7638975546461785384 downloaded
DOWNLOAD 6/64 7640705928941161743 downloaded
DOWNLOAD 7/64 7638280761396710682 downloaded
DOWNLOAD 8/64 7638664477021326643 downloaded
DOWNLOAD 9/64 7637924826572705065 downloaded
DOWNLOAD 10/64 7639726333802679590 downloaded
DOWNLOAD 11/64 7642220065483492643 downloaded
DOWNLOAD 12/64 7637487731915918598 downloaded
DOWNLOAD 13/64 7642692521780464936 downloaded
DOWNLOAD 14/64 7642250423872638223 downloaded
DOWNLOAD 15/64 7643072492197727503 downloaded
DOWNLOAD 16/64 7643434162665442575 downloaded
DOWNLOAD 17/64 7644195046853578036 downloaded
DOWNLOAD 18/64 7643833205165968680 downloaded
DOWNLOAD 19/64 7644578524879129899 downloaded
DOWNLOAD 20/64 7644889050234506538 downloaded
DOWNLOAD 21/64 7645652035567750436 downloaded
DOWNLOAD 22/64 7645207502186908947 downloaded
DOWNLOAD 23/64 7647138694075321610 existing
DOWNLOAD 24/64 7645942254057688326 downloaded
DOWNLOAD 25/64 7646373169162472767 downloaded
DOWNLOAD 26/64 7647472332063264054 downloaded
DOWNLOAD 27/64 7647897900562861366 downloaded
DOWNLOAD 28/64 7648608700575288619 downloaded
DOWNLOAD 29/64 7649314280830979391 downloaded
DOWNLOAD 30/64 7648251421615246611 downloaded
DOWNLOAD 31/64 7648992848871722259 downloaded
DOWNLOAD 32/64 7649729653048888612 downloaded
DOWNLOAD 33/64 7650089773134138650 downloaded
DOWNLOAD 34/64 7651189369163894043 downloaded
DOWNLOAD 35/64 7651567388554431763 downloaded
DOWNLOAD 36/64 7650820361054883106 downloaded
DOWNLOAD 37/64 7650451125698710811 downloaded
DOWNLOAD 38/64 7652699613761228083 existing
DOWNLOAD 39/64 7652000331357883682 downloaded
DOWNLOAD 40/64 7653052955993656628 downloaded
DOWNLOAD 41/64 7652356227367767338 downloaded
DOWNLOAD 42/64 7653429133493439786 downloaded
DOWNLOAD 43/64 7653813315168259334 downloaded
DOWNLOAD 44/64 7654183060182682890 downloaded
DOWNLOAD 45/64 7654924170920283407 downloaded
DOWNLOAD 46/64 7654536155693649202 downloaded
DOWNLOAD 47/64 7655679512360881448 downloaded
DOWNLOAD 48/64 7655286121772993844 downloaded
DOWNLOAD 49/64 7656051023496236328 downloaded
DOWNLOAD 50/64 7656428018444881193 downloaded
DOWNLOAD 51/64 7656767056066514191 downloaded
DOWNLOAD 52/64 7657925270267006243 downloaded
DOWNLOAD 53/64 7657140857685986602 downloaded
DOWNLOAD 54/64 7657547366643272986 downloaded
DOWNLOAD 55/64 7658266531562671412 downloaded
DOWNLOAD 56/64 7658628033149930793 downloaded
DOWNLOAD 57/64 7659021467580960010 downloaded
DOWNLOAD 58/64 7660122335013276971 downloaded
DOWNLOAD 59/64 7659780318336929065 downloaded
DOWNLOAD 60/64 7660896909606849807 downloaded
DOWNLOAD 61/64 7659382845609119016 downloaded
DOWNLOAD 62/64 7661179181669092642 downloaded
DOWNLOAD 63/64 7661605040515321138 downloaded
DOWNLOAD 64/64 7660468197740596532 downloaded
Loading faster-whisper model=small cpu_threads=12
TRANSCRIBE 1/64 episode=1 id=7641876208291958051
